Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 04/25  17:00:00,1.16436662180209,3.87138786019989,0.000000000000000E+000,2.91567040213471,0.000000000000000E+000,8.027798350454932E-002,8.027798350454932E-002,8.027798350454932E-002,9.381757327859858E-002,2.044045886860401E-002,0.438213351102789,0.514505241357947,0.920279513316638 
 04/25  18:00:00,1.28674493518518,3.83094991639865,0.000000000000000E+000,2.74232244910908,0.000000000000000E+000,7.550514494798596E-002,7.550514494798596E-002,7.550514494798596E-002,0.171318981436035,3.732604107180897E-002,0.396885327422791,0.558597402616962,1.05015255527822 
 04/25  19:00:00,1.41081519043953,4.11840324212851,0.000000000000000E+000,3.00742698598350,0.000000000000000E+000,8.280434365803332E-002,8.280434365803332E-002,8.280434365803332E-002,0.338558963388235,7.376337208365046E-002,0.321994134489507,0.576582363130508,1.07126258117125 
 04/25  20:00:00,1.66148344514934,4.17936114709460,0.000000000000000E+000,3.14422694717377,0.000000000000000E+000,8.657089594728247E-002,8.657089594728247E-002,8.657089594728247E-002,0.554747273518103,0.120865296666160,0.285783468298347,0.596404497029846,0.994055221681963 
 04/25  21:00:00,1.69404552856848,4.37680116282577,0.000000000000000E+000,3.43687090712611,0.000000000000000E+000,9.462834543559188E-002,9.462834543559188E-002,9.462834543559188E-002,0.599616518619031,0.130641161964096,0.269566832227902,0.582480656632261,0.899810319754313 
 04/25  22:00:00,1.39773802349061,4.86030818706038,0.000000000000000E+000,4.07749387424057,0.000000000000000E+000,0.112266800025315,0.112266800025315,0.112266800025315,0.448692701787994,9.775868940488895E-002,0.217845457523059,0.504062361059758,0.748095649791405 
 04/25  23:00:00,1.10925402683500,5.29407172426546,0.000000000000000E+000,4.68037589560333,0.000000000000000E+000,0.128866122407815,0.128866122407815,0.128866122407815,0.310005799815561,6.754236523834896E-002,0.147706913176347,0.438020812507328,0.583525956511989 
 04/25  24:00:00,0.823670813317476,5.96572602242792,0.000000000000000E+000,5.53084418713698,0.000000000000000E+000,0.152282308074375,0.152282308074375,0.152282308074375,0.159081899391618,3.465989267914196E-002,9.822476913727689E-002,0.362309930345465,0.409926755611781 
 04/26  01:00:00,0.718376171206930,6.33258736725234,0.000000000000000E+000,5.97936505628194,0.000000000000000E+000,0.164631560894002,0.164631560894002,0.164631560894002,9.789657276243555E-002,2.132916892857149E-002,8.381484540687240E-002,0.333592009525450,0.330245256021627 
 04/26  02:00:00,0.669507609570751,6.56464585951587,0.000000000000000E+000,6.23390977565216,0.000000000000000E+000,0.171640013141489,0.171640013141489,0.171640013141489,6.526438462805398E-002,1.421944655947315E-002,7.154747547045819E-002,0.329724276081677,0.308025429552024 
 04/26  03:00:00,0.663967925021968,6.80865817451721,0.000000000000000E+000,6.47263839403629,0.000000000000000E+000,0.178212996176428,0.178212996176428,0.178212996176428,6.526438462805398E-002,1.421944655947315E-002,6.407608801926525E-002,0.325082995949147,0.313628806933723 
 04/26  04:00:00,0.664483020838480,6.97838320644879,0.000000000000000E+000,6.58057965468643,0.000000000000000E+000,0.181184973645345,0.181184973645345,0.181184973645345,6.526438462805398E-002,1.421944655947315E-002,7.389926005084047E-002,0.312802942265167,0.376258400237924 
