Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 06/04  23:00:00,0.942453341171,0.590718119334,0.0,0.0,0.0,0.0,0.0,0.0,0.310125591129,0.0675684465008,0.162483910071,0.385163393471,0.564188945363
 06/04  24:00:00,0.633055518013,0.411349148341,0.0,0.0,0.0,0.0,0.0,0.0,0.158361954181,0.034503034961,0.104489735199,0.318588793672,0.389405480599
 06/05  01:00:00,0.510463341506,0.32662787653,0.0,0.0,0.0,0.0,0.0,0.0,0.0956770209504,0.02084558514,0.0834923761498,0.293336359266,0.306423538738
 06/05  02:00:00,0.455074328373,0.307548343725,0.0,0.0,0.0,0.0,0.0,0.0,0.0626849499491,0.0136574534635,0.0716845669617,0.289935357999,0.287578259124
 06/05  03:00:00,0.443503660426,0.312812888083,0.0,0.0,0.0,0.0,0.0,0.0,0.0626849499491,0.0136574534635,0.0641951005342,0.285854156479,0.293123907313
 06/05  04:00:00,0.442046368417,0.367254109446,0.0,0.0,0.0,0.0,0.0,0.0,0.0626849499491,0.0136574534635,0.0735359875481,0.275055977456,0.348308882559
 06/05  05:00:00,0.489775925345,0.611213866674,0.0,0.0,0.0,0.0,0.0,0.0,0.0659841587211,0.0143762669954,0.0853631352956,0.306940364333,0.590072516114
 06/05  06:00:00,0.621812110422,1.28222496593,0.0,0.216328820651,0.0,0.00596938648914,0.00596938648914,0.00596938648914,0.089078620125,0.0194079617187,0.135604734988,0.354639407101,1.04146939371
 06/05  07:00:00,0.797433768449,1.43885727985,0.0,0.247212357611,0.0,0.00680656824307,0.00680656824307,0.00680656824307,0.141865910321,0.0309089673015,0.208909382217,0.376830940367,1.16568966859
 06/05  08:00:00,0.743454848374,1.50720431489,0.0,0.352159574696,0.0,0.00969610985785,0.00969610985785,0.00969610985785,0.105574663985,0.0230020293783,0.269481251481,0.318588793672,1.13310107245
 06/05  09:00:00,0.699749840111,1.37045863343,0.0,0.317985690042,0.0,0.00875519055966,0.00875519055966,0.00875519055966,0.0593857495364,0.0129386399317,0.330413434083,0.271144826,1.03379710767
 06/05  10:00:00,0.720357017127,1.48207787985,0.0,0.546788947985,0.0,0.015054895819,0.015054895819,0.015054895819,0.0527873319925,0.0115010128678,0.346380073072,0.277521703375,0.916173871418
 06/05  11:00:00,0.718838609361,0.947220255865,0.0,0.117475300998,0.0,0.00323448091692,0.00323448091692,0.00323448091692,0.0494881232205,0.0107822011572,0.36061507566,0.277606728407,0.810624038087
 06/05  12:00:00,0.700320914683,0.747566769597,0.0,0.0,0.0,0.0,0.0,0.0,0.0494881232205,0.0107822011572,0.350008238641,0.272930351665,0.728767950955
 06/05  13:00:00,0.678774077625,0.699827398569,0.0,0.0,0.0,0.0,0.0,0.0,0.0494881232205,0.0107822011572,0.319023623067,0.28236813018,0.68037852732
 06/05  14:00:00,0.669879379194,0.652765741101,0.0,0.0,0.0,0.0,0.0,0.0,0.0494881232205,0.0107822011572,0.294229243714,0.298267811103,0.63222173618
 06/05  15:00:00,0.697273917722,0.660047318461,0.0,0.0,0.0,0.0,0.0,0.0,0.0527873319925,0.0115010128678,0.301025880583,0.314847692279,0.63836132923
 06/05  16:00:00,0.79642692831,0.722226525066,0.0,0.0,0.0,0.0,0.0,0.0,0.0527873319925,0.0115010128678,0.34261694473,0.37240963872,0.696575800564
 06/05  17:00:00,0.968838077881,0.852444348582,0.0,0.0,0.0,0.0,0.0,0.0,0.0659841587211,0.0143762669954,0.418947458642,0.452418193523,0.821282817743
 06/05  18:00:00,1.04896200105,0.970443947117,0.0,0.0,0.0,0.0,0.0,0.0,0.105574663985,0.0230020293783,0.382083699719,0.491189607965,0.936611929892
 06/05  19:00:00,1.08796592181,0.990583775542,0.0,0.0,0.0,0.0,0.0,0.0,0.204550927144,0.0445664353352,0.314732295471,0.507004263856,0.955662480975
 06/05  20:00:00,1.26935379664,0.923787628415,0.0,0.0,0.0,0.0,0.0,0.0,0.366212123535,0.0797882729005,0.281807004861,0.524434395348,0.88766578624
 06/05  21:00:00,1.4431989642,0.840049264445,0.0,0.0,0.0,0.0,0.0,0.0,0.531172478541,0.115728949495,0.266994745381,0.512190790788,0.80477073376
 06/05  22:00:00,1.22428153171,0.885545222665,0.0,0.182678586208,0.0,0.00502974153716,0.00502974153716,0.00502974153716,0.445393100625,0.0970398085937,0.216471390852,0.443235490102,0.672337589236
 06/05  23:00:00,0.947606602908,1.3067943982,0.0,0.751385359156,0.0,0.0206881070726,0.0206881070726,0.0206881070726,0.310125591129,0.0675684465008,0.146949064735,0.385163393471,0.528879865073
 06/05  24:00:00,0.66454639801,1.78089988925,0.0,1.38249262227,0.0,0.0380645630742,0.0380645630742,0.0380645630742,0.158361954181,0.034503034961,0.0979160521221,0.318588793672,0.376463599242
 06/06  01:00:00,0.561788289392,2.19080962082,0.0,1.86410551075,0.0,0.051324947886,0.051324947886,0.051324947886,0.0956770209504,0.02084558514,0.0834923761498,0.293336359266,0.306499772283
 06/06  02:00:00,0.518449437683,2.60834384035,0.0,2.30176347712,0.0,0.06337510931,0.06337510931,0.06337510931,0.0626849499491,0.0136574534635,0.0716845669617,0.289935357999,0.286610278629
 06/06  03:00:00,0.517658527213,3.00457565571,0.0,2.69328078295,0.0,0.0741548667877,0.0741548667877,0.0741548667877,0.0626849499491,0.0136574534635,0.0641951005342,0.285854156479,0.291605891987
 06/06  04:00:00,0.522815111935,3.29891555944,0.0,2.93349464712,0.0,0.0807687435177,0.0807687435177,0.0807687435177,0.0626849499491,0.0136574534635,0.0735359875481,0.275055977456,0.346475685429
 06/06  05:00:00,0.572358885025,3.60742394367,0.0,2.99938639146,0.0,0.0825829596793,0.0825829596793,0.0825829596793,0.0659841587211,0.0143762669954,0.0853631352956,0.306940364333,0.586896201645
 06/06  06:00:00,0.698252150552,4.0535019872,0.0,2.99308372685,0.0,0.0824094266195,0.0824094266195,0.0824094266195,0.089078620125,0.0194079617187,0.135604734988,0.354639407101,1.03599150879
 06/06  07:00:00,0.855034869646,3.52451540209,0.0,2.33926572714,0.0,0.0644076694399,0.0644076694399,0.0644076694399,0.141865910321,0.0309089673015,0.208909382217,0.376830940367,1.1592944213
 06/06  08:00:00,0.778386140873,2.76938457942,0.0,1.62085282283,0.0,0.0446274023562,0.0446274023562,0.0446274023562,0.105574663985,0.0230020293783,0.269481251481,0.318588793672,1.12658808885
 06/06  09:00:00,0.715225486567,1.92660024099,0.0,0.880056165122,0.0,0.0242308370161,0.0242308370161,0.0242308370161,0.0593857495364,0.0129386399317,0.330413434083,0.271144826,1.02786824015
 06/06  10:00:00,0.705719225047,0.945565385482,0.0,0.0151490729234,0.0,0.000417103738943,0.000417103738943,0.000417103738943,0.0527873319925,0.0115010128678,0.346380073072,0.277521703375,0.911301252107
 06/06  11:00:00,0.715604128444,0.826453104514,0.0,0.0,0.0,0.0,0.0,0.0,0.0494881232205,0.0107822011572,0.36061507566,0.277606728407,0.807332187733
 06/06  12:00:00,0.700320914683,0.744471841734,0.0,0.0,0.0,0.0,0.0,0.0,0.0494881232205,0.0107822011572,0.350008238641,0.272930351665,0.725673023092
 06/06  13:00:00,0.678774077625,0.696308898785,0.0,0.0,0.0,0.0,0.0,0.0,0.0494881232205,0.0107822011572,0.319023623067,0.28236813018,0.676860027537
 06/06  14:00:00,0.669879379194,0.649155952898,0.0,0.0,0.0,0.0,0.0,0.0,0.0494881232205,0.0107822011572,0.294229243714,0.298267811103,0.628611947978
 06/06  15:00:00,0.697273917722,0.656279648207,0.0,0.0,0.0,0.0,0.0,0.0,0.0527873319925,0.0115010128678,0.301025880583,0.314847692279,0.634593658976
 06/06  16:00:00,0.79642692831,0.717794276002,0.0,0.0,0.0,0.0,0.0,0.0,0.0527873319925,0.0115010128678,0.34261694473,0.37240963872,0.6921435515
 06/06  17:00:00,1.14803179469,0.847593026835,0.0,0.0,0.13618812889,0.0430055879186,0.179193716809,0.0430055879186,0.0659841587211,0.0143762669954,0.418947458642,0.452418193523,0.816431495996
 06/06  18:00:00,1.25956094327,0.964986661176,0.0,0.0,0.159194917915,0.051404024313,0.210598942228,0.051404024313,0.105574663985,0.0230020293783,0.382083699719,0.491189607965,0.931154643951
 06/06  19:00:00,1.27456604626,0.984813236679,0.0,0.0,0.139474963462,0.0471251609885,0.18660012445,0.0471251609885,0.204550927144,0.0445664353352,0.314732295471,0.507004263856,0.949891942112
 06/06  20:00:00,1.42778571297,0.917952773467,0.0,0.0,0.117778444873,0.0406534714536,0.158431916327,0.0406534714536,0.366212123535,0.0797882729005,0.281807004861,0.524434395348,0.881830931292
 06/06  21:00:00,1.60529550721,0.833951835053,0.0,0.0,0.121168514973,0.0409280280299,0.162096543003,0.0409280280299,0.531172478541,0.115728949495,0.266994745381,0.512190790788,0.798673304368
 06/06  22:00:00,1.33454619402,0.696940182575,0.0,0.0,0.086402270511,0.0288921333399,0.115294403851,0.0288921333399,0.445393100625,0.0970398085937,0.216471390852,0.443235490102,0.666411135354
 06/06  23:00:00,0.944394756724,0.549888051863,0.0,0.0,0.0130621991952,0.00441406169331,0.0174762608885,0.00441406169331,0.310125591129,0.0675684465008,0.146949064735,0.385163393471,0.523358877892
 06/06  24:00:00,0.626481834936,0.393800539174,0.0,0.0,0.0,0.0,0.0,0.0,0.158361954181,0.034503034961,0.0979160521221,0.318588793672,0.371856871432
 06/07  01:00:00,0.510463341506,0.323056505317,0.0,0.0,0.0,0.0,0.0,0.0,0.0956770209504,0.02084558514,0.0834923761498,0.293336359266,0.302852167524
 06/07  02:00:00,0.455074328373,0.304100962027,0.0,0.0,0.0,0.0,0.0,0.0,0.0626849499491,0.0136574534635,0.0716845669617,0.289935357999,0.284130877427
 06/07  03:00:00,0.443503660426,0.309197648057,0.0,0.0,0.0,0.0,0.0,0.0,0.0626849499491,0.0136574534635,0.0641951005342,0.285854156479,0.289508667286
 06/07  04:00:00,0.442046368417,0.363276160337,0.0,0.0,0.0,0.0,0.0,0.0,0.0626849499491,0.0136574534635,0.0735359875481,0.275055977456,0.344330933451
 06/07  05:00:00,0.489775925345,0.605807036308,0.0,0.0,0.0,0.0,0.0,0.0,0.0659841587211,0.0143762669954,0.0853631352956,0.306940364333,0.584665685748
 06/07  06:00:00,0.615842723933,1.05727198627,0.0,0.0,0.0,0.0,0.0,0.0,0.089078620125,0.0194079617187,0.135604734988,0.354639407101,1.0328452347
 06/07  07:00:00,0.790627200206,1.18191506733,0.0,0.0,0.0,0.0,0.0,0.0,0.141865910321,0.0309089673015,0.208909382217,0.376830940367,1.15595981368
 06/07  08:00:00,0.733758738517,1.14531787709,0.0,0.0,0.0,0.0,0.0,0.0,0.105574663985,0.0230020293783,0.269481251481,0.318588793672,1.12337420935
 06/07  09:00:00,0.690994649551,1.04331851125,0.0,0.0,0.0,0.0,0.0,0.0,0.0593857495364,0.0129386399317,0.330413434083,0.271144826,1.02464267554
 06/07  10:00:00,0.705302121308,0.927173008201,0.0,0.0,0.0,0.0,0.0,0.0,0.0527873319925,0.0115010128678,0.346380073072,0.277521703375,0.90805794775
 06/07  11:00:00,0.715604128444,0.823174257882,0.0,0.0,0.0,0.0,0.0,0.0,0.0494881232205,0.0107822011572,0.36061507566,0.277606728407,0.804053341101
 06/07  12:00:00,0.700320914683,0.741726490555,0.0,0.0,0.0,0.0,0.0,0.0,0.0494881232205,0.0107822011572,0.350008238641,0.272930351665,0.722927671913
 06/07  13:00:00,0.678774077625,0.693976183269,0.0,0.0,0.0,0.0,0.0,0.0,0.0494881232205,0.0107822011572,0.319023623067,0.28236813018,0.67452731202
 06/07  14:00:00,0.669879379194,0.646818374264,0.0,0.0,0.0,0.0,0.0,0.0,0.0494881232205,0.0107822011572,0.294229243714,0.298267811103,0.626274369343
 06/07  15:00:00,0.697273917722,0.654131362451,0.0,0.0,0.0,0.0,0.0,0.0,0.0527873319925,0.0115010128678,0.301025880583,0.314847692279,0.63244537322
 06/07  16:00:00,0.79642692831,0.715716435991,0.0,0.0,0.0,0.0,0.0,0.0,0.0527873319925,0.0115010128678,0.34261694473,0.37240963872,0.690065711489
 06/07  17:00:00,0.968838077881,0.844999092125,0.0,0.0,0.0,0.0,0.0,0.0,0.0659841587211,0.0143762669954,0.418947458642,0.452418193523,0.813837561286
 06/07  18:00:00,1.04896200105,0.961928318598,0.0,0.0,0.0,0.0,0.0,0.0,0.105574663985,0.0230020293783,0.382083699719,0.491189607965,0.928096301373
 06/07  19:00:00,1.08796592181,0.981526665725,0.0,0.0,0.0,0.0,0.0,0.0,0.204550927144,0.0445664353352,0.314732295471,0.507004263856,0.946605371158
 06/07  20:00:00,1.26935379664,0.914939038927,0.0,0.0,0.0,0.0,0.0,0.0,0.366212123535,0.0797882729005,0.281807004861,0.524434395348,0.878817196752
 06/07  21:00:00,1.4431989642,0.8314786804,0.0,0.0,0.0,0.0,0.0,0.0,0.531172478541,0.115728949495,0.266994745381,0.512190790788,0.796200149715
 06/07  22:00:00,1.21925179017,0.6949636322,0.0,0.0,0.0,0.0,0.0,0.0,0.445393100625,0.0970398085937,0.216471390852,0.443235490102,0.664434584979
 06/07  23:00:00,0.926918495836,0.548540438155,0.0,0.0,0.0,0.0,0.0,0.0,0.310125591129,0.0675684465008,0.146949064735,0.385163393471,0.522011264184
 06/07  24:00:00,0.626481834936,0.392915364512,0.0,0.0,0.0,0.0,0.0,0.0,0.158361954181,0.034503034961,0.0979160521221,0.318588793672,0.37097169677
 06/08  01:00:00,0.510463341506,0.322369785808,0.0,0.0,0.0,0.0,0.0,0.0,0.0956770209504,0.02084558514,0.0834923761498,0.293336359266,0.302165448015
 06/08  02:00:00,0.455074328373,0.303598870957,0.0,0.0,0.0,0.0,0.0,0.0,0.0626849499491,0.0136574534635,0.0716845669617,0.289935357999,0.283628786356
